route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_224,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_266,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:119390-C01386-COU_RATP_4832832_651522_196,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_74,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_71,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_125,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:119390-C01386-COU_RATP_4832832_651522_200,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_67,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:119390-C01386-COU_RATP_4832832_651522_197,Porte des Lilas,,0,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_267,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_109,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_223,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_66,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:119390-C01386-COU_RATP_4832832_651522_203,Porte des Lilas,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:119390-C01386-COU_RATP_4832832_651522_204,Porte des Lilas,,0,,,2,0
IDFM:C01382,IDFM:108219,IDFM:RATP:107784-C01382-COU_RATP_4831412_2811696_292,Mairie d'Issy,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:119390-C01386-COU_RATP_4832832_651522_207,Porte des Lilas,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912353_13,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01382,IDFM:108219,IDFM:RATP:107784-C01382-COU_RATP_4831412_2811696_246,Mairie d'Issy,,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_225,Porte des Lilas,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_239,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_271,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_270,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_269,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_268,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_267,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01382,IDFM:108219,IDFM:RATP:107784-C01382-COU_RATP_4831412_2811696_241,Mairie d'Issy,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_266,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01377,IDFM:108219,IDFM:RATP:107499-C01377-COU_RATP_5083921_912373_152,La Courneuve-8-Mai-1945,,0,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_268,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_265,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_262,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_261,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_260,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_259,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_258,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_257,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_256,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_255,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_65,Porte des Lilas,,0,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_269,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_254,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_62,Porte des Lilas,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_253,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_251,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_250,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_249,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_248,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_247,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_246,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_245,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_244,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_242,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_241,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01372,IDFM:108219,IDFM:RATP:107467-C01372-COU_RATP_4828769_2991121_278,Porte Dauphine (Maréchal de Lattre de Tassigny),,1,,,2,0
